,_id,admin,allGroups,amount,cash,cashDoc,contents,context,description,gameCode,group,groupName,humanTime,item,itemNo,key,newPrice,newYearValue,note,oldPrice,player,playername,pointsAwarded,price,recipient,recipientGroup,recipientName,recvAmt,recvRes,recvResNo,recvResRecipient,recvResRequester,reqAmt,reqId,reqLogContents,reqRes,reqResNo,reqResRecipient,reqResRequester,requester,requesterGroup,requesterName,response,size,startingYear,stockDoc,timestamp,user,year,zone
658,kZqCQ9BHJDqnJsyKW,aiT8XFJafQpKCETyu,,,,,"{u'status': u'running', u'yearLength': 375000, u'group': u'admin', u'cheapRes': [u'c3', u'c7', u'c8', u'c4', u'c6', u'c2'], u'elapsedTimeYear': 0, u'playerName': u'boss', u'elapsedTimeTotal': 0, u'expensiveRes': [u'e5', u'e6', u'e3', u'e8', u'e7', u'e1'], u'gameCode': u'51092', u'currentYear': 2253, u'player': u'aiT8XFJafQpKCETyu', u'role': u'admin', u'lastLogin': 1486218472443.0, u'gameStart': 1486218472443.0, u'groupNumbers': [7, 6, 3, 0, 2, 1], u'_id': u'tBkhotNaQmjcKPZqd', u'size': u'6'}",,,51092,,,2/4/17 9:27,,,NewGameStart,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2253,,1.49E+12,,,
659,9HCRyiTuMeMvxb2ZY,,,,,,,,,51092,7,turquoise-group,2/4/17 9:27,,,PlayerJoinsGame,,,,,BCytEoXixctGGMtmh,turquoise-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
660,K2XCvkCE7tLrTHsTe,,,,,,,,,51092,6,orange-group,2/4/17 9:27,,,PlayerJoinsGame,,,,,iyPttTpSxkEDDZ294,orange-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
661,F26CZP2ZPbnZ29Xqi,,,,,,,,,51092,3,pink-group,2/4/17 9:27,,,PlayerJoinsGame,,,,,jSegJ8zeJFKasDzup,pink-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
662,DvRWYAjiNxDa9463x,,,,,,,,,51092,0,white-group,2/4/17 9:27,,,PlayerJoinsGame,,,,,eupppf2eH6a5WoyXe,white-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
663,cXL6gajBZC65XRvqf,,,,,,,,,51092,2,green-group,2/4/17 9:27,,,PlayerJoinsGame,,,,,w4zccp9s6g8FffiZL,green-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
664,QKXxuGjinzFSsWTbp,,,,,,,,,51092,1,red-group,2/4/17 9:27,,,PlayerJoinsGame,,,,,6SxbZHp34iN9BgJSZ,red-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
665,XD4CLKP9558RvS6Fw,,,,,,,,NewGameSetup,51092,,,2/4/17 9:27,,,GameYearIncrease,,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
666,HeX4nLTA8dpCSsYWN,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,sapphire,e7,StockPriceChange,8.82,,,247.5346416,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
667,BQwN64cRZMRsj3dBR,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,33735.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
668,HdHjmPZy4KKfr3B6p,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,ruby,e6,StockPriceChange,8.82,,,259.9520402,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
669,7pD3cdakoncvvACWG,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,29986.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
670,nwTgEvtNXDcPArwzq,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,iridium,e5,StockPriceChange,8.82,,,229.0820426,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
671,2Kq6B3ePhTTeaaki3,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,26708.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
672,WLPEkZnwdmjjhYEni,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,gold,e1,StockPriceChange,8.82,,,247.6349918,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
673,gERhPboPzzDtAB4q2,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,23161.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
674,TpnBwSZWEvP639ibc,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,platinum,e3,StockPriceChange,8.82,,,267.6456039,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
675,SnmYp9YWhZoh9e7F6,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,19323.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
676,zxpw4cFC2ZvspmcYs,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,pearl,e8,StockPriceChange,8.82,,,259.4575785,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
677,5CjXXW5dz2rngND9n,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,15616.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
678,gRtgu47iYyzJgx7j6,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,water,c2,StockPriceChange,3.12,,,76.95237427,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
679,6xhWbvJGAt2gHDoRZ,,,,,,,,NewYearUpdates,51092,7,,2/4/17 9:27,555,555,StockPriceChange,13404.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
680,xroQgjSGwkSTSBkuH,,,,,,,{},NewYearUpdates,51092,7,,2/4/17 9:27,cotton,c8,StockPriceChange,6.25,,,89.2481093,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
