,_id,admin,allGroups,amount,cash,cashDoc,contents,context,description,gameCode,group,groupName,humanTime,item,itemNo,key,newPrice,newYearValue,note,oldPrice,player,playername,pointsAwarded,price,recipient,recipientGroup,recipientName,recvAmt,recvRes,recvResNo,recvResRecipient,recvResRequester,reqAmt,reqId,reqLogContents,reqRes,reqResNo,reqResRecipient,reqResRequester,requester,requesterGroup,requesterName,response,size,startingYear,stockDoc,timestamp,user,year,zone
0,z3GWQvoPxnFugMjYH,nbKNN3XTrRbWTetD6,,,,,"{u'status': u'running', u'yearLength': 375000, u'group': u'admin', u'cheapRes': [u'c7', u'c8', u'c6', u'c4', u'c3', u'c2'], u'elapsedTimeYear': 0, u'playerName': u'boss', u'elapsedTimeTotal': 0, u'expensiveRes': [u'e1', u'e8', u'e2', u'e5', u'e4', u'e6'], u'gameCode': u'1730', u'currentYear': 2253, u'player': u'nbKNN3XTrRbWTetD6', u'role': u'admin', u'lastLogin': 1486231206998.0, u'gameStart': 1486231206998.0, u'groupNumbers': [7, 4, 0, 1, 6, 5], u'_id': u'KthEMoDwF2F9LGX8R', u'size': u'6'}",,,1730,,,2/4/17 13:00,,,NewGameStart,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2253,,1.49E+12,,,
1,2cdMj3M2jMjZJnwPa,,,,,,,,,1730,7,turquoise-group,2/4/17 13:00,,,PlayerJoinsGame,,,,,qcyxKRPawiLYkQyQC,turquoise-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2,3eDQtnEg4jTpxEpay,,,,,,,,,1730,4,blue-group,2/4/17 13:00,,,PlayerJoinsGame,,,,,LhQFHZKYXmhRKi8qG,blue-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
3,7sNu6NmCZEfzfe3Dx,,,,,,,,,1730,0,white-group,2/4/17 13:00,,,PlayerJoinsGame,,,,,eBkGZbdwjQNeFER9k,white-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
4,DiJqSEoxPnBPvBXFr,,,,,,,,,1730,1,red-group,2/4/17 13:00,,,PlayerJoinsGame,,,,,Zuca8AbYebBMHiAxu,red-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
5,BwQeuF7g9Nv8B3xQ2,,,,,,,,,1730,6,orange-group,2/4/17 13:00,,,PlayerJoinsGame,,,,,mEqCEKS3PQhcP43A7,orange-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
6,vcjf7v86jd7ayhHcC,,,,,,,,,1730,5,yellow-group,2/4/17 13:00,,,PlayerJoinsGame,,,,,MFp3f6nwurcXDtrSK,yellow-group-base,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
7,LyJJ5Tp9novuxXZfD,,,,,,,,NewGameSetup,1730,,,2/4/17 13:00,,,GameYearIncrease,,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
8,ocjQPDaN7QD8QvYHq,,,,,,,{},NewYearUpdates,1730,7,,2/4/17 13:00,gold,e1,StockPriceChange,8.82,,,253.6074866,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
9,hgKnaJFvSYrXWHog6,,,,,,,,NewYearUpdates,1730,7,,2/4/17 13:00,555,555,StockPriceChange,34048.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
10,4NKpctXDHs4nk8vJt,,,,,,,{},NewYearUpdates,1730,7,,2/4/17 13:00,ruby,e6,StockPriceChange,8.82,,,227.2634169,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
